"Type","view1_to_view2","view2_to_view1","validation_correlation","test_correlation"
"LR",0.7523,0.7783,39.2425511406,39.1804926593
"LR",0.7587,0.7906,39.4484876094,39.2086515547
"LR",0.7599,0.7935,39.0710931672,38.9458678267
"LR",0.7622,0.7976,39.3564758755,39.0818261781
"LR",0.7677,0.7942,39.4125112972,39.2986312849
"LR",0.7525,0.7868,39.0240916065,38.9956244773
"LR",0.7678,0.7905,39.3996687612,39.1549346984
"LR",0.7582,0.7904,39.2276219535,39.0409321926
"LR",0.7577,0.7827,39.4464237188,39.0494872796
"LR",0.7699,0.7945,39.0446172385,39.0478227904
"LR",0.7507,0.7885,39.4436531628,39.3973656276
"LR",0.7657,0.787,39.1871446826,39.1937333351
"LR",0.7513,0.7944,39.3051984975,39.222410143
"LR",0.7761,0.7921,39.0698854405,39.1532344809
"LR",0.7756,0.7931,39.2787144244,39.1712399794
"LR",0.7699,0.7864,39.2570717908,39.2945956264
"LR",0.7433,0.7796,39.1062603306,39.2126924373
"LR",0.7599,0.7874,39.3443736652,39.2500616776
"LR",0.7781,0.8014,39.2071382429,39.0032748442
"LR",0.7688,0.7837,39.3979087383,39.2987056176
"UD",0.7554,0.7612,38.4887602763,38.7985353051
"UD",0.7464,0.7588,38.1883843505,38.6146784633
"UD",0.7599,0.7573,38.1254803304,38.3964920202
"UD",0.7621,0.7497,38.2583205278,38.6287627303
"UD",0.7388,0.7464,37.9789434818,38.5639917298
"UD",0.7493,0.741,38.3622120351,38.7228947179
"UD",0.7349,0.7495,38.2720868508,38.6016172478
"UD",0.7508,0.7741,38.2325936045,38.6226677144
"UD",0.7438,0.7505,37.8707150745,38.3050363852
"UD",0.7351,0.7617,38.1471596508,38.6902428509
"UD",0.7518,0.7558,37.9371007371,38.2515711829
"UD",0.754,0.751,38.1709825022,38.5380995855
"UD",0.7459,0.7526,38.3740108454,38.7723754979
"UD",0.7679,0.7617,37.8183533742,38.2904009928
"UD",0.7454,0.7413,38.0911097351,38.454056005
"UD",0.7597,0.7451,38.1465415242,38.5036446039
"UD",0.746,0.7689,38.4070458436,38.8415194217
"UD",0.7514,0.7575,38.410443461,38.72084126
"UD",0.754,0.7465,38.1988578988,38.6269575219
"UD",0.7528,0.755,38.4267198457,38.8891538858
